Name,Period,Key,Total,Counts.0,Counts.1,Counts.2,Counts.3,Counts.4,Counts.5,Counts.6,Counts.7,Counts.8,Counts.9,Counts.10,Counts.11,Counts.12,Counts.13,Counts14,Counts.15,Counts.16,Counts.17,Counts.18,Counts.19,Counts.20,Counts.21,Counts.22,Counts.23
"SMTP Content",2014-12-11T00:00:00.000Z,"09table.social",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11
"SMTP Content",2014-12-11T00:00:00.000Z,"10.turpintine.com",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"109.rev.sfr.net",28,1,1,3,2,1,2,2,1,1,1,0,1,0,1,,1,0,1,0,0,7,0,2,0
"SMTP Content",2014-12-11T00:00:00.000Z,"13.turpintine.com",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,0,0,4,0
"SMTP Content",2014-12-11T00:00:00.000Z,"13mail.biz",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"17.com",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"178.75.kim",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"2007.in",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"2540turpintine.co",13,0,0,0,0,0,0,0,0,0,2,4,0,0,3,,1,0,1,0,2,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"2540turpintine.com",19,0,0,0,0,0,0,0,0,0,2,4,0,0,3,,1,6,1,0,2,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"2eus2.list-manage.com",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"2fwww.s-maps.ru",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"3d-https--www.asdreports.com",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,4,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"3dexchange.emdad17.com",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"3dturpintine.com",13,0,0,0,0,0,0,0,0,0,2,4,0,0,3,,1,0,1,0,2,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"3dwww.asdmailer.com",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,4,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"40turpintine.co",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0
"SMTP Content",2014-12-11T00:00:00.000Z,"40turpintine.com",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,2,0,0,0,0,0
